Date,Value
1-Jan-66,19.7
1-Feb-66,44
1-Mar-66,14.8
1-Apr-66,7.9
1-May-66,0.7
1-Jun-66,0
1-Jul-66,0
1-Aug-66,0
1-Sep-66,0
1-Oct-66,6.2
1-Nov-66,0.3
1-Dec-66,7.2
1-Jan-67,15.7
1-Feb-67,35.6
1-Mar-67,3.6
1-Apr-67,7
1-May-67,22.3
1-Jun-67,0
1-Jul-67,0
1-Aug-67,0
1-Sep-67,0
1-Oct-67,1.3
1-Nov-67,64.7
1-Dec-67,5.8
1-Jan-68,8.2
1-Feb-68,20.3
1-Mar-68,12.4
1-Apr-68,33.2
1-May-68,13.2
1-Jun-68,0
1-Jul-68,0
1-Aug-68,0
1-Sep-68,0
1-Oct-68,2.9
1-Nov-68,21.1
1-Dec-68,24.4
1-Jan-69,60.7
1-Feb-69,18.9
1-Mar-69,12.2
1-Apr-69,47.2
1-May-69,14.9
1-Jun-69,0
1-Jul-69,0
1-Aug-69,0
1-Sep-69,0
1-Oct-69,11.9
1-Nov-69,14.2
1-Dec-69,7.9
1-Jan-70,59.2
1-Feb-70,8
1-Mar-70,10.6
1-Apr-70,6.9
1-May-70,6.7
1-Jun-70,0
1-Jul-70,0
1-Aug-70,0
1-Sep-70,0
1-Oct-70,1.5
1-Nov-70,4.3
1-Dec-70,32.6
1-Jan-71,14.7
1-Feb-71,22.2
1-Mar-71,17.6
1-Apr-71,45.1
1-May-71,4.8
1-Jun-71,0
1-Jul-71,0
1-Aug-71,0
1-Sep-71,0
1-Oct-71,0.3
1-Nov-71,25.4
1-Dec-71,19.6
1-Jan-72,64.7
1-Feb-72,10.9
1-Mar-72,57.7
1-Apr-72,42
1-May-72,4.7
1-Jun-72,0
1-Jul-72,0
1-Aug-72,0
1-Sep-72,0
1-Oct-72,0.1
1-Nov-72,25.3
1-Dec-72,29.2
1-Jan-73,6.8
1-Feb-73,13.4
1-Mar-73,4
1-Apr-73,4.2
1-May-73,0.2
1-Jun-73,0
1-Jul-73,0
1-Aug-73,0
1-Sep-73,0
1-Oct-73,0.1
1-Nov-73,2
1-Dec-73,32.4
1-Jan-74,74.3
1-Feb-74,36.3
1-Mar-74,32.4
1-Apr-74,9.9
1-May-74,0.8
1-Jun-74,0
1-Jul-74,0
1-Aug-74,0
1-Sep-74,0
1-Oct-74,1.3
1-Nov-74,3.1
1-Dec-74,58.7
1-Jan-75,40.3
1-Feb-75,27.5
1-Mar-75,5.1
1-Apr-75,39.4
1-May-75,12.4
1-Jun-75,0
1-Jul-75,0
1-Aug-75,0
1-Sep-75,0
1-Oct-75,0.1
1-Nov-75,7.4
1-Dec-75,55
1-Jan-76,48.6
1-Feb-76,40.3
1-Mar-76,31.5
1-Apr-76,40.6
1-May-76,12.5
1-Jun-76,0
1-Jul-76,0
1-Aug-76,0
1-Sep-76,0
1-Oct-76,3.8
1-Nov-76,1.4
1-Dec-76,29.1
1-Jan-77,37
1-Feb-77,2.8
1-Mar-77,17.6
1-Apr-77,8.9
1-May-77,4.2
1-Jun-77,0
1-Jul-77,0
1-Aug-77,0
1-Sep-77,0
1-Oct-77,10
1-Nov-77,12.9
1-Dec-77,58.5
1-Jan-78,37.1
1-Feb-78,11
1-Mar-78,31.3
1-Apr-78,2.1
1-May-78,1
1-Jun-78,0
1-Jul-78,0
1-Aug-78,0
1-Sep-78,0
1-Oct-78,0.1
1-Nov-78,14.2
1-Dec-78,28.1
1-Jan-79,53.8
1-Feb-79,4.3
1-Mar-79,7.5
1-Apr-79,0.7
1-May-79,10.6
1-Jun-79,0
1-Jul-79,0
1-Aug-79,0
1-Sep-79,0
1-Oct-79,10.5
1-Nov-79,2.4
1-Dec-79,53.5
1-Jan-80,24.7
1-Feb-80,78.5
1-Mar-80,20.1
1-Apr-80,4.9
1-May-80,1.9
1-Jun-80,0
1-Jul-80,0
1-Aug-80,0
1-Sep-80,0
1-Oct-80,0.2
1-Nov-80,10.2
1-Dec-80,40.7
1-Jan-81,40
1-Feb-81,39
1-Mar-81,16.1
1-Apr-81,3.2
1-May-81,2
1-Jun-81,0
1-Jul-81,0
1-Aug-81,0
1-Sep-81,0
1-Oct-81,4.9
1-Nov-81,12
1-Dec-81,11.7
1-Jan-82,50.3
1-Feb-82,28.6
1-Mar-82,25.6
1-Apr-82,8.6
1-May-82,10.1
1-Jun-82,0
1-Jul-82,0
1-Aug-82,0
1-Sep-82,0
1-Oct-82,13.7
1-Nov-82,33
1-Dec-82,21.8
1-Jan-83,35.5
1-Feb-83,10.7
1-Mar-83,19.2
1-Apr-83,16.4
1-May-83,10.2
1-Jun-83,0
1-Jul-83,0
1-Aug-83,0
1-Sep-83,0
1-Oct-83,0.1
1-Nov-83,7
1-Dec-83,9.9
1-Jan-84,21.1
1-Feb-84,2.3
1-Mar-84,35.9
1-Apr-84,3
1-May-84,2.3
1-Jun-84,0
1-Jul-84,0
1-Aug-84,0
1-Sep-84,0
1-Oct-84,0.3
1-Nov-84,51.2
1-Dec-84,16.6
1-Jan-85,27.6
1-Feb-85,7
1-Mar-85,8.1
1-Apr-85,11.7
1-May-85,3.3
1-Jun-85,0
1-Jul-85,0
1-Aug-85,0
1-Sep-85,0
1-Oct-85,0.1
1-Nov-85,24.6
1-Dec-85,24.4
1-Jan-86,11.7
1-Feb-86,34.5
1-Mar-86,32.2
1-Apr-86,41
1-May-86,7.7
1-Jun-86,0
1-Jul-86,0
1-Aug-86,0
1-Sep-86,0
1-Oct-86,0.4
1-Nov-86,38.8
1-Dec-86,28.6
1-Jan-87,3.1
1-Feb-87,15.5
1-Mar-87,45.3
1-Apr-87,2.4
1-May-87,0.8
1-Jun-87,0
1-Jul-87,0
1-Aug-87,0
1-Sep-87,0
1-Oct-87,14.5
1-Nov-87,2.8
1-Dec-87,37.4
1-Jan-88,34.2
1-Feb-88,29.3
1-Mar-88,22.2
1-Apr-88,9.9
1-May-88,0.3
1-Jun-88,0
1-Jul-88,0
1-Aug-88,0
1-Sep-88,0
1-Oct-88,0.2
1-Nov-88,2.5
1-Dec-88,19.9
1-Jan-89,9.7
1-Feb-89,20.7
1-Mar-89,16.6
1-Apr-89,3.7
1-May-89,1.9
1-Jun-89,0
1-Jul-89,0
1-Aug-89,0
1-Sep-89,0
1-Oct-89,0.4
1-Nov-89,25.3
1-Dec-89,38.5
1-Jan-90,20.4
1-Feb-90,23
1-Mar-90,10.6
1-Apr-90,9.9
1-May-90,0.6
1-Jun-90,0
1-Jul-90,0
1-Aug-90,0
1-Sep-90,0
1-Oct-90,2
1-Nov-90,13.9
1-Dec-90,15.8
1-Jan-91,50.4
1-Feb-91,27.3
1-Mar-91,54.2
1-Apr-91,11.8
1-May-91,0.1
1-Jun-91,0
1-Jul-91,0
1-Aug-91,0
1-Sep-91,0
1-Oct-91,9.5
1-Nov-91,3.8
1-Dec-91,37.9
1-Jan-92,29.4
1-Feb-92,24.5
1-Mar-92,33
1-Apr-92,6.2
1-May-92,10
1-Jun-92,0
1-Jul-92,0
1-Aug-92,0
1-Sep-92,0
1-Oct-92,0.1
1-Nov-92,18
1-Dec-92,42.9
1-Jan-93,42.3
1-Feb-93,30.5
1-Mar-93,22.7
1-Apr-93,55.5
1-May-93,12.1
1-Jun-93,0
1-Jul-93,0
1-Aug-93,0
1-Sep-93,0
1-Oct-93,4.4
1-Nov-93,9
1-Dec-93,4.8
1-Jan-94,24
1-Feb-94,5
1-Mar-94,27.4
1-Apr-94,12.6
1-May-94,3.5
1-Jun-94,0
1-Jul-94,0
1-Aug-94,0
1-Sep-94,0
1-Oct-94,8.4
1-Nov-94,68.6
1-Dec-94,19.5
1-Jan-95,10.5
1-Feb-95,40.5
1-Mar-95,9.4
1-Apr-95,23.7
1-May-95,4.3
1-Jun-95,0
1-Jul-95,0
1-Aug-95,0
1-Sep-95,0
1-Oct-95,0.1
1-Nov-95,1
1-Dec-95,41.8
1-Jan-96,55.2
1-Feb-96,41.5
1-Mar-96,36.3
1-Apr-96,35.5
1-May-96,3.8
1-Jun-96,0
1-Jul-96,0
1-Aug-96,0
1-Sep-96,0
1-Oct-96,0.4
1-Nov-96,3.6
1-Dec-96,9.7
1-Jan-97,26.9
1-Feb-97,1
1-Mar-97,73.4
1-Apr-97,14.6
1-May-97,2.8
1-Jun-97,0
1-Jul-97,0
1-Aug-97,0
1-Sep-97,0
1-Oct-97,5.7
1-Nov-97,34.7
1-Dec-97,28.6
1-Jan-98,50.1
1-Feb-98,14.6
1-Mar-98,46.4
1-Apr-98,4.2
1-May-98,2.5
1-Jun-98,0
1-Jul-98,0
1-Aug-98,0
1-Sep-98,0
1-Oct-98,0.3
1-Nov-98,4.7
1-Dec-98,4.9
1-Jan-99,45.6
1-Feb-99,41.4
1-Mar-99,40.8
1-Apr-99,2.1
1-May-99,0.5
1-Jun-99,0
1-Jul-99,0
1-Aug-99,0
1-Sep-99,0
1-Oct-99,1.4
1-Nov-99,7.1
1-Dec-99,45.2
1-Jan-00,33.6
1-Feb-00,10
1-Mar-00,4.9
1-Apr-00,1.7
1-May-00,0.6
1-Jun-00,0
1-Jul-00,0
1-Aug-00,0
1-Sep-00,0
1-Oct-00,3.7
1-Nov-00,19.4
1-Dec-00,56.6
1-Jan-01,30.7
1-Feb-01,14.3
1-Mar-01,11.3
1-Apr-01,6.6
1-May-01,3.5
1-Jun-01,0
1-Jul-01,0
1-Aug-01,0
1-Sep-01,0
1-Oct-01,3
1-Nov-01,5
1-Dec-01,77.6
1-Jan-02,26.3
1-Feb-02,18
1-Mar-02,14.2
1-Apr-02,31
1-May-02,0.8
1-Jun-02,0
1-Jul-02,0
1-Aug-02,0
1-Sep-02,0
1-Oct-02,0.7
1-Nov-02,30.1
1-Dec-02,25.3
1-Jan-03,35.6
1-Feb-03,11
1-Mar-03,19.8
1-Apr-03,20.8
1-May-03,0.3
1-Jun-03,0
1-Jul-03,0
1-Aug-03,0
1-Sep-03,0
1-Oct-03,1.4
1-Nov-03,15.3
1-Dec-03,48.4
1-Jan-04,79.5
1-Feb-04,6.2
1-Mar-04,3.2
1-Apr-04,20.1
1-May-04,3.3
1-Jun-04,0
1-Jul-04,0
1-Aug-04,0
1-Sep-04,0
1-Oct-04,0.1
1-Nov-04,16.2
1-Dec-04,51.4
1-Jan-05,48.3
1-Feb-05,14.5
1-Mar-05,26.4
